#,Name,Pos,Age,Ovr,Pot,Contract,Exp,PER,EWA,Draft
191,Reggie Miller,SG,39,58,58,3,2005,0,0,Draftand sim
192,Austin Croshere,PF,29,56,56,3,2005,0,0,Draftand sim
193,Shammond Williams,G,29,56,56,3,2005,0,0,Draftand sim
194,Gerald Wallace,F,22,43,60,1,2008,0,0,Draftand sim
195,Reggie Evans,PF,24,49,58,1,2007,0,0,Draftand sim
196,Dajuan Wagner,SG,21,44,59,1,2008,0,0,Draftand sim
197,Richie Frahm,GF,27,54,56,2,2005,0,0,Draftand sim
198,Qyntel Woods,F,23,48,57,1,2008,0,0,Draftand sim
199,Reece Gaines,PG,23,48,57,1,2008,0,0,Draftand sim
200,Marcus Camby,FC,30,56,56,3,2005,0,0,Draftand sim
201,Willie Green,SG,23,49,56,2,2007,0,0,Draftand sim
202,Bonzi Wells,GF,28,55,56,3,2005,0,0,Draftand sim
203,Eddie Robinson,SF,28,55,56,3,2005,0,0,Draftand sim
204,Raja Bell,SG,28,55,55,3,2005,0,0,Draftand sim
205,Chris Kaman,C,22,45,58,1,2008,0,0,Draftand sim
206,J.R. Bremer,PG,24,49,57,1,2007,0,0,Draftand sim
207,Jonathan Bender,SF,23,47,57,1,2008,0,0,Draftand sim
208,Ruben Patterson,GF,29,55,55,3,2005,0,0,Draftand sim
209,Nikoloz Tskitishvili,F,21,45,57,1,2008,0,0,Draftand sim
210,Darius Songaila,FC,26,52,53,2,2005,0,0,Draftand sim
211,Matt Barnes,F,24,48,57,1,2007,0,0,Draftand sim
212,Jon Barry,SG,35,56,56,2,2005,0,0,Draftand sim
213,P.J. Brown,FC,35,56,56,2,2005,0,0,Draftand sim
214,David Wesley,G,34,56,56,2,2005,0,0,Draftand sim
215,Jerry Stackhouse,GF,30,55,55,2,2005,0,0,Draftand sim
216,Anthony Johnson,G,30,55,55,2,2005,0,0,Draftand sim
217,Matt Harpring,GF,28,54,56,2,2005,0,0,Draftand sim
218,Rasho Nesterović,C,28,54,55,2,2005,0,0,Draftand sim
219,DeSagana Diop,FC,22,44,57,1,2008,0,0,Draftand sim
220,Boštjan Nachbar,F,24,48,56,1,2007,0,0,Draftand sim
221,Kevin Ollie,G,32,55,55,2,2005,0,0,Draftand sim
222,Rodney Rogers,F,33,55,55,2,2005,0,0,Draftand sim
223,Fred Hoiberg,SG,32,55,55,2,2005,0,0,Draftand sim
224,Lorenzen Wright,C,29,54,54,2,2005,0,0,Draftand sim
225,Anthony Parker,GF,29,54,54,2,2005,0,0,Draftand sim
226,Linton Johnson,F,24,49,54,1,2007,0,0,Draftand sim
227,Jamal Sampson,FC,21,41,58,1,2008,0,0,Draftand sim
228,DerMarr Johnson,GF,24,48,55,1,2007,0,0,Draftand sim
229,Robert Horry,F,34,55,55,2,2005,0,0,Draftand sim
230,Clifford Robinson,FC,38,55,55,2,2005,0,0,Draftand sim
231,Žarko Čabarkapa,PF,23,45,56,1,2008,0,0,Draftand sim
232,Wally Szczerbiak,SF,27,52,54,2,2005,0,0,Draftand sim
233,Malik Rose,PF,30,54,54,2,2005,0,0,Draftand sim
234,Kelvin Cato,FC,30,54,54,2,2005,0,0,Draftand sim
235,Chucky Atkins,G,30,54,54,2,2005,0,0,Draftand sim
236,Jake Voskuhl,C,27,52,52,2,2005,0,0,Draftand sim
237,Donnell Harvey,F,24,46,57,1,2007,0,0,Draftand sim
238,Jamal Mashburn,SF,32,54,54,2,2005,0,0,Draftand sim
239,Glenn Robinson,SF,31,54,54,2,2005,0,0,Draftand sim
240,Howard Eisley,G,32,54,54,2,2005,0,0,Draftand sim
241,Greg Ostertag,C,31,54,54,2,2005,0,0,Draftand sim
242,Shandon Anderson,GF,31,54,54,2,2005,0,0,Draftand sim
243,Chris Andersen,FC,26,50,54,1,2005,0,0,Draftand sim
244,Jarron Collins,C,26,50,54,2,2005,0,0,Draftand sim
245,Predrag Drobnjak,C,29,53,53,2,2005,0,0,Draftand sim
246,Omar Cook,PG,22,40,57,1,2008,0,0,Draftand sim
247,Raül López,PG,24,47,54,1,2007,0,0,Draftand sim
248,Tamar Slay,SG,24,47,54,1,2007,0,0,Draftand sim
249,Robert Traylor,FC,27,51,51,2,2005,0,0,Draftand sim
250,Maurice Taylor,FC,28,52,52,2,2005,0,0,Draftand sim
251,Charlie Bell,SG,25,49,52,1,2006,0,0,Draftand sim
252,Karl Malone,PF,41,54,54,1,2005,0,0,Draftand sim
253,Marcus Fizer,F,26,49,54,1,2005,0,0,Draftand sim
254,Hiram Fuller,PF,23,42,56,1,2008,0,0,Draftand sim
255,Shawn Bradley,C,32,53,53,1,2005,0,0,Draftand sim
256,Nick Van Exel,G,33,53,53,1,2005,0,0,Draftand sim
257,Theo Ratliff,FC,31,53,53,1,2005,0,0,Draftand sim
258,Bruce Bowen,SF,33,53,53,1,2005,0,0,Draftand sim
259,Jason Hart,PG,26,49,53,1,2005,0,0,Draftand sim
260,Brian Scalabrine,FC,26,49,53,1,2005,0,0,Draftand sim
261,Rasual Butler,GF,25,48,53,1,2007,0,0,Draftand sim
262,Will Solomon,G,26,49,52,1,2005,0,0,Draftand sim
263,Milt Palacio,G,26,49,52,1,2005,0,0,Draftand sim
264,Charlie Ward,PG,34,53,53,1,2005,0,0,Draftand sim
265,Lucious Harris,G,34,53,53,1,2005,0,0,Draftand sim
266,Brian Cook,FC,24,46,53,1,2007,0,0,Draftand sim
267,Junior Harrington,G,24,46,53,1,2007,0,0,Draftand sim
268,Keith McLeod,PG,25,47,54,1,2007,0,0,Draftand sim
269,Jason Collier,C,27,50,52,1,2005,0,0,Draftand sim
270,Marcus Haislip,F,24,45,54,1,2007,0,0,Draftand sim
271,Brandon Hunter,PF,24,45,54,1,2007,0,0,Draftand sim
272,Brian Skinner,FC,28,51,51,1,2005,0,0,Draftand sim
273,Daniel Santiago,C,28,51,52,2,2005,0,0,Draftand sim
274,Kurt Thomas,FC,32,52,52,1,2005,0,0,Draftand sim
275,Wesley Person,GF,33,52,52,1,2005,0,0,Draftand sim
276,Vin Baker,FC,33,52,52,1,2005,0,0,Draftand sim
277,Moochie Norris,PG,31,52,52,1,2005,0,0,Draftand sim
278,Roger Mason,GF,24,46,52,1,2007,0,0,Draftand sim
279,Desmond Penigar,PF,23,42,54,1,2008,0,0,Draftand sim
280,Maurice Evans,GF,26,48,52,1,2005,0,0,Draftand sim
281,Jake Tsakalidis,C,25,48,49,1,2006,0,0,Draftand sim
282,Tony Delk,G,30,51,51,1,2005,0,0,Draftand sim
283,Jumaine Jones,GF,25,47,51,1,2007,0,0,Draftand sim
284,Trenton Hassell,GF,25,47,51,1,2007,0,0,Draftand sim
285,Devin Brown,SG,26,48,49,1,2005,0,0,Draftand sim
286,Dahntay Jones,GF,24,43,54,1,2007,0,0,Draftand sim
287,Erick Strickland,G,31,51,51,1,2005,0,0,Draftand sim
288,Bo Outlaw,FC,33,51,51,1,2005,0,0,Draftand sim
289,Rick Brunson,PG,32,51,51,1,2005,0,0,Draftand sim
290,Calbert Cheaney,GF,33,51,51,1,2005,0,0,Draftand sim
291,Lonny Baxter,FC,25,46,52,1,2007,0,0,Draftand sim
292,Alton Ford,PF,23,40,54,1,2008,0,0,Draftand sim
293,Robert Archibald,FC,24,45,51,1,2007,0,0,Draftand sim
294,Jannero Pargo,G,25,46,51,1,2007,0,0,Draftand sim
295,Christian Laettner,FC,35,51,51,1,2005,0,0,Draftand sim
296,Anthony Peeler,SG,35,51,51,1,2005,0,0,Draftand sim
297,Laron Profit,GF,27,48,50,1,2005,0,0,Draftand sim
298,Raef LaFrentz,FC,28,49,49,1,2005,0,0,Draftand sim
299,Troy Hudson,PG,28,49,51,1,2005,0,0,Draftand sim
300,Tony Battie,FC,28,49,52,1,2005,0,0,Draftand sim
301,Eduardo Nájera,F,28,49,50,1,2005,0,0,Draftand sim
302,Scott Padgett,PF,28,49,50,1,2005,0,0,Draftand sim
303,Ansu Sesay,SF,28,49,49,1,2005,0,0,Draftand sim
304,Michael Doleac,C,27,48,48,1,2005,0,0,Draftand sim
305,Leon Smith,C,24,43,52,1,2007,0,0,Draftand sim
306,Kirk Penney,SG,24,43,52,1,2007,0,0,Draftand sim
307,Chris Jefferies,GF,24,42,53,1,2007,0,0,Draftand sim
308,Brian Grant,FC,32,50,50,1,2005,0,0,Draftand sim
309,Jamison Brewer,G,24,45,49,1,2007,0,0,Draftand sim
310,Lee Nailon,F,29,49,49,1,2005,0,0,Draftand sim
311,Brevin Knight,PG,29,49,49,1,2005,0,0,Draftand sim
312,Jerome Beasley,PF,24,43,51,1,2007,0,0,Draftand sim
313,Brandon Armstrong,SG,24,43,51,1,2007,0,0,Draftand sim
314,Kendall Gill,GF,36,50,50,1,2005,0,0,Draftand sim
315,Bryon Russell,GF,34,50,50,1,2005,0,0,Draftand sim
316,Curtis Borchardt,C,24,41,53,1,2007,0,0,Draftand sim
317,Jérôme Moïso,FC,26,46,48,1,2005,0,0,Draftand sim
318,Vladimir Stepania,C,28,48,50,1,2005,0,0,Draftand sim
319,Ron Mercer,GF,28,48,52,1,2005,0,0,Draftand sim
320,Troy Bell,PG,24,42,51,1,2007,0,0,Draftand sim
321,Corliss Williamson,F,31,49,49,1,2005,0,0,Draftand sim
322,Aaron Williams,FC,33,49,49,1,2005,0,0,Draftand sim
323,Malik Allen,PF,26,45,51,1,2007,0,0,Draftand sim
324,Marc Jackson,FC,29,48,48,1,2005,0,0,Draftand sim
325,Vitaly Potapenko,C,29,48,48,1,2005,0,0,Draftand sim
326,Bruno Šundov,C,24,43,49,1,2007,0,0,Draftand sim
327,Eric Piatkowski,GF,34,49,49,1,2005,0,0,Draftand sim
328,Antonio Davis,FC,36,49,49,1,2005,0,0,Draftand sim
329,Dale Davis,FC,35,49,49,1,2005,0,0,Draftand sim
330,Stacey Augmon,GF,36,49,49,1,2005,0,0,Draftand sim
331,Antonio McDyess,FC,30,48,48,1,2005,0,0,Draftand sim
332,Eddie Gill,PG,26,45,48,1,2005,0,0,Draftand sim
333,Mark Madsen,FC,28,47,47,1,2005,0,0,Draftand sim
334,Calvin Booth,C,28,47,49,1,2005,0,0,Draftand sim
335,Francisco Elson,C,28,47,48,1,2005,0,0,Draftand sim
336,James Jones,GF,24,42,49,1,2007,0,0,Draftand sim
337,Loren Woods,C,26,45,46,1,2005,0,0,Draftand sim
338,Lamond Murray,SF,31,48,48,1,2005,0,0,Draftand sim
339,Travis Best,PG,32,48,48,1,2005,0,0,Draftand sim
340,Josh Davis,PF,24,41,50,1,2007,0,0,Draftand sim
341,Alex Garcia,SG,24,40,51,1,2007,0,0,Draftand sim
342,Melvin Ely,FC,26,44,49,1,2005,0,0,Draftand sim
343,Clarence Weatherspoon,F,34,48,48,1,2005,0,0,Draftand sim
344,Steve Smith,SG,35,48,48,1,2005,0,0,Draftand sim
345,Theron Smith,SF,24,42,48,1,2007,0,0,Draftand sim
346,Matt Carroll,SG,24,41,49,1,2007,0,0,Draftand sim
347,Dan Dickau,PG,26,44,48,1,2005,0,0,Draftand sim
348,Terence Morris,SF,25,43,48,1,2007,0,0,Draftand sim
349,Primož Brezec,C,25,42,50,1,2007,0,0,Draftand sim
350,Danny Fortson,FC,28,46,48,1,2005,0,0,Draftand sim
351,Andrew DeClercq,C,31,47,47,1,2005,0,0,Draftand sim
352,Sean Lampley,SF,25,42,49,1,2007,0,0,Draftand sim
353,Britton Johnsen,FC,25,42,49,1,2007,0,0,Draftand sim
354,Steven Hunter,FC,23,38,49,1,2008,0,0,Draftand sim
355,Ryan Bowen,GF,29,46,46,1,2005,0,0,Draftand sim
356,Jacque Vaughn,G,29,46,46,1,2005,0,0,Draftand sim
357,Ira Newble,GF,29,46,46,1,2005,0,0,Draftand sim
358,Jerome James,C,29,46,46,1,2005,0,0,Draftand sim
359,Zendon Hamilton,FC,29,46,46,1,2005,0,0,Draftand sim
360,George Lynch,GF,34,47,47,1,2005,0,0,Draftand sim
361,Tom Gugliotta,F,35,47,47,1,2005,0,0,Draftand sim
362,Gary Trent,FC,30,46,46,1,2005,0,0,Draftand sim
363,Mike Wilks,G,25,42,47,1,2007,0,0,Draftand sim
364,Jeff Trepagnier,SG,25,42,47,1,2007,0,0,Draftand sim
365,Travis Hansen,SF,26,43,46,1,2005,0,0,Draftand sim
366,Jahidi White,FC,28,45,47,1,2005,0,0,Draftand sim
367,Jermaine Jackson,G,28,45,47,1,2005,0,0,Draftand sim
368,Wang Zhizhi,C,27,44,45,1,2005,0,0,Draftand sim
369,Jabari Smith,FC,27,44,45,1,2005,0,0,Draftand sim
370,Michael Olowokandi,C,29,45,45,1,2005,0,0,Draftand sim
371,Mamadou N'Diaye,C,29,45,45,1,2005,0,0,Draftand sim
372,Mikki Moore,FC,29,45,45,1,2005,0,0,Draftand sim
373,Rick Fox,SF,35,46,46,1,2005,0,0,Draftand sim
374,Lindsey Hunter,G,34,46,46,1,2005,0,0,Draftand sim
375,Kaniel Dickens,F,26,42,47,1,2005,0,0,Draftand sim
376,Ryan Humphrey,F,25,41,46,1,2007,0,0,Draftand sim
377,Ruben Boumtje-Boumtje,C,26,42,45,1,2005,0,0,Draftand sim
378,Tremaine Fowlkes,SF,28,44,46,1,2005,0,0,Draftand sim
379,Ben Handlogten,C,31,45,45,1,2005,0,0,Draftand sim
380,Anthony Goldwire,PG,33,45,45,1,2005,0,0,Draftand sim
381,Michael Ruffin,FC,27,43,46,1,2005,0,0,Draftand sim
382,Mateen Cleaves,PG,27,43,46,1,2005,0,0,Draftand sim
383,Ime Udoka,GF,27,43,45,1,2005,0,0,Draftand sim
384,Derrick Dial,SG,29,44,44,1,2005,0,0,Draftand sim
385,Obinna Ekezie,FC,29,44,44,1,2005,0,0,Draftand sim
386,Derrick Coleman,FC,37,45,45,1,2005,0,0,Draftand sim
387,Rod Strickland,G,38,45,45,1,2005,0,0,Draftand sim
388,Cezary Trybański,C,25,41,44,1,2006,0,0,Draftand sim
389,Joel Przybilla,C,25,40,46,1,2007,0,0,Draftand sim
390,Samaki Walker,FC,28,43,44,1,2005,0,0,Draftand sim
391,Greg Buckner,GF,28,43,44,1,2005,0,0,Draftand sim
392,Dan Langhi,SF,27,42,45,1,2005,0,0,Draftand sim
393,Desmond Ferguson,SF,27,42,45,1,2005,0,0,Draftand sim
394,Quincy Lewis,GF,27,42,43,1,2005,0,0,Draftand sim
395,Rodney Buford,GF,27,42,42,1,2005,0,0,Draftand sim
